Designator,Mid X,Mid Y,Layer,Rotation
D2,-58,-18,bottom,90
D3,-4,-18,bottom,-90
R1,-53.426292,-14.494869,bottom,-90
R2,-9.176292,-18.774869,bottom,180
SW1,-42.5,-18,bottom,0
C1,6.206,-17.0203,top,90
C2,20.01,-16.7,top,180
C3,17.5125,-8.2,top,180
C4,42.82,-7.26,top,90
C5,45.212,-7.2288,top,90
D1,23.156292,-19.864869,top,90
FLASH1,39.326292,-32.104869,top,180
J1,24,-31,top,0
J2,9.17,-30.955,top,0
J3,60.231292,-32.764869,top,-90
L1,31.23,-16.16,top,90
R4,7.766292,-23.874869,top,0
R5,15.366292,-16.914869,top,180
R6,13.136292,-16.164869,top,90
R7,55.456292,-6.704869,top,0
R8,55.456292,-8.244869,top,0
R9,54.086292,-27.904869,top,180
R10,51.066292,-27.914869,top,180
R11,48.046292,-27.914869,top,180
RST1,57.476292,-3.054869,top,180
U1,16.5692,-20.4648,top,180
U2,57.6,-18.0848,top,-90
