Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF,CP_Elec_8x10,6.206,-17.0203,90,top
C2,470pF,C_0805_2012Metric,20.01,-16.7,180,top
C3,470uF,CP_Elec_10x10.5,17.5125,-8.2,180,top
C4,10uF,C_0805_2012Metric,42.82,-7.26,90,top
C5,100nF,C_0805_2012Metric,45.212,-7.2288,90,top
D1,D_Schottky,D_SOD-123,23.17,-19.44,90,top
F1,Fuse,Fuse_1206_3216Metric,6.2,-25.27,90,top
F2,Fuse,Fuse_1206_3216Metric,17.6,-28.05,90,top
FLASH1,SW_Push,SW_SPST_B3U-1000P,55.49,-31.83,90,top
J1,Fan,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,24,-31,0,top
J2,Power,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,9.17,-30.955,0,top
J3,UART,PinHeader_1x02_P2.54mm_Vertical,60.6044,-30.729,0,top
L1,220uH,L_12x12mm_H8mm,31.23,-16.16,90,top
R4,0.15,R_1206_3216Metric,10.2807,-22.8524,0,top
R5,2K2,R_0402_1005Metric,14.6064,-16.93,180,top
R6,3K6,R_0402_1005Metric,13.06,-16.47,90,top
R7,10K,R_0402_1005Metric,54.61,-6.2484,0,top
R8,10K,R_0402_1005Metric,54.61,-7.4676,0,top
R9,10K,R_0402_1005Metric,53.1,-28.17,-90,top
R10,10K,R_0402_1005Metric,51.1,-28.17,-90,top
R11,10K,R_0402_1005Metric,48.06,-27.76,180,top
RST1,SW_Push,SW_SPST_B3U-1000P,59.5376,-4.572,90,top
U1,MC34063AD,MC34063,16.5692,-20.4648,180,top
U2,ESP-12F,ESP-12E,57.6,-18.0848,-90,top
